id,type,data_size,shape,name,label,frequency,industry,covariables,source_type,format,task_count,ok
631753,multivariate-forecast,large,"(4069953, 20)",ethylene_methane,"Regular time series,",Second,energy,,,csv,1,Y
631482,multivariate-forecast,large,"(2073819, 7)",household_power_consumption,"Regular time series,",Minute,electricity,,,csv,1,Y
614706,multivariate-forecast,small,"(2908, 3)",Beijing_tourism_forecast,"Regular time series,",Day,other,,,csv,1,Y
615251,multivariate-forecast,small,"(200, 108)",Crimes_Committed_in_France,"Regular time series,",Month,other,,,csv,1,Y
61807,multivariate-forecast,small,"(105, 112)",nn5_weekly,Regular time series,Week,finance,,monash,csv,1,Y
617081,multivariate-forecast,small,"(117, 11)",unemployment_data,"Regular time series,",Year,sociology,,,csv,1,Y
62431,multivariate-forecast,medium,"(26176, 322)",electricity_hourly,"Regular time series,",Hour,energy,,monash,csv,1,Y
532614,univariate-forecast,large,"(7375622, 2)",solar_4_seconds,Regular time series,Second,energy,,,csv,1,Y
512754,univariate-forecast,small,"(124, 2)",Air_Passengers,"Regular time series,",Month,aviation,,,csv,1,Y
517050,univariate-forecast,small,"(432, 2)",Bike_Sharing_Demand,"Regular time series,",Hour,transport,,,csv,1,Y
514906,univariate-forecast,small,"(128, 2)",Bread_Sydney_Prices,Regular time series,Year,finance,,,csv,1,Y
511838,univariate-forecast,small,"(234, 2)",corn_price,"regular time series,",Week,finance,,,csv,1,Y
514718,univariate-forecast,small,"(6940, 2)",US_Births,"Regular time series,",Day,sociology,,,csv,1,Y
529812,univariate-forecast,medium,"(41911, 2)",jena_climate_2009_2016,"Regular time series,",Minute,nature,,,csv,1,Y
