datetime,count,workingday
2011-06-01 00:00:00,34,1
2011-06-01 01:00:00,17,1
2011-06-01 02:00:00,3,1
2011-06-01 03:00:00,6,1
2011-06-01 04:00:00,4,1
2011-06-01 05:00:00,21,1
2011-06-01 06:00:00,128,1
2011-06-01 07:00:00,284,1
2011-06-01 08:00:00,454,1
2011-06-01 09:00:00,207,1
2011-06-01 10:00:00,115,1
2011-06-01 11:00:00,112,1
2011-06-01 12:00:00,169,1
2011-06-01 13:00:00,154,1
2011-06-01 14:00:00,145,1
2011-06-01 15:00:00,152,1
2011-06-01 16:00:00,266,1
2011-06-01 17:00:00,486,1
2011-06-01 18:00:00,309,1
2011-06-01 19:00:00,264,1
2011-06-01 20:00:00,256,1
2011-06-01 21:00:00,190,1
2011-06-01 22:00:00,129,1
2011-06-01 23:00:00,69,1
2011-06-02 00:00:00,42,1
2011-06-02 01:00:00,15,1
2011-06-02 02:00:00,6,1
2011-06-02 03:00:00,4,1
2011-06-02 04:00:00,3,1
2011-06-02 05:00:00,31,1
2011-06-02 06:00:00,113,1
2011-06-02 07:00:00,304,1
2011-06-02 08:00:00,467,1
2011-06-02 09:00:00,225,1
2011-06-02 10:00:00,139,1
2011-06-02 11:00:00,165,1
2011-06-02 12:00:00,232,1
2011-06-02 13:00:00,203,1
2011-06-02 14:00:00,185,1
2011-06-02 15:00:00,188,1
2011-06-02 16:00:00,318,1
2011-06-02 17:00:00,572,1
2011-06-02 18:00:00,525,1
2011-06-02 19:00:00,379,1
2011-06-02 20:00:00,337,1
2011-06-02 21:00:00,248,1
2011-06-02 22:00:00,155,1
2011-06-02 23:00:00,112,1
2011-06-03 00:00:00,68,1
2011-06-03 01:00:00,22,1
2011-06-03 02:00:00,12,1
2011-06-03 03:00:00,5,1
2011-06-03 04:00:00,6,1
2011-06-03 05:00:00,28,1
2011-06-03 06:00:00,106,1
2011-06-03 07:00:00,277,1
2011-06-03 08:00:00,502,1
2011-06-03 09:00:00,230,1
2011-06-03 10:00:00,161,1
2011-06-03 11:00:00,192,1
2011-06-03 12:00:00,259,1
2011-06-03 13:00:00,248,1
2011-06-03 14:00:00,240,1
2011-06-03 15:00:00,212,1
2011-06-03 16:00:00,349,1
2011-06-03 17:00:00,558,1
2011-06-03 18:00:00,564,1
2011-06-03 19:00:00,391,1
2011-06-03 20:00:00,293,1
2011-06-03 21:00:00,247,1
2011-06-03 22:00:00,171,1
2011-06-03 23:00:00,171,1
2011-06-04 00:00:00,93,0
2011-06-04 01:00:00,94,0
2011-06-04 02:00:00,59,0
2011-06-04 03:00:00,18,0
2011-06-04 04:00:00,15,0
2011-06-04 05:00:00,8,0
2011-06-04 06:00:00,28,0
2011-06-04 07:00:00,87,0
2011-06-04 08:00:00,125,0
2011-06-04 09:00:00,224,0
2011-06-04 10:00:00,317,0
2011-06-04 11:00:00,369,0
2011-06-04 12:00:00,420,0
2011-06-04 13:00:00,456,0
2011-06-04 14:00:00,451,0
2011-06-04 15:00:00,404,0
2011-06-04 16:00:00,440,0
2011-06-04 17:00:00,344,0
2011-06-04 18:00:00,341,0
2011-06-04 19:00:00,285,0
2011-06-04 20:00:00,239,0
2011-06-04 21:00:00,185,0
2011-06-04 22:00:00,190,0
2011-06-04 23:00:00,150,0
2011-06-05 00:00:00,113,0
2011-06-05 01:00:00,96,0
2011-06-05 02:00:00,64,0
2011-06-05 03:00:00,47,0
2011-06-05 04:00:00,12,0
2011-06-05 05:00:00,6,0
2011-06-05 06:00:00,21,0
2011-06-05 07:00:00,27,0
2011-06-05 08:00:00,98,0
2011-06-05 09:00:00,164,0
2011-06-05 10:00:00,251,0
2011-06-05 11:00:00,335,0
