month,value
2009-01,3073677
2009-02,2558953
2009-03,2901885
2009-04,2914509
2009-05,2787124
2009-06,3053035
2009-07,3169720
2009-08,3162960
2009-09,3063650
2009-10,3320887
2009-11,3365250
2009-12,3832328
2010-01,3384473
2010-02,3108244
2010-03,3448617
2010-04,3283071
2010-05,3389972
2010-06,3621082
2010-07,3673387
2010-08,3467630
2010-09,3393497
2010-10,3581850
2010-11,3623080
2010-12,4063874
2011-01,3787070
2011-02,3390264
2011-03,3708592
2011-04,3731875
2011-05,3773137
2011-06,4011823
2011-07,4172971
2011-08,3855722
2011-09,3817720
2011-10,3878788
2011-11,3890535
2011-12,4525348
2012-01,4244834
2012-02,3770270
2012-03,4277559
2012-04,4206420
2012-05,4089894
2012-06,4402693
2012-07,4360693
2012-08,4276912
2012-09,4002344
2012-10,4268532
2012-11,4365456
2012-12,4916197
2013-01,4325530
2013-02,4117962
2013-03,4608339
2013-04,4240461
2013-05,4281153
2013-06,4669334
2013-07,4536572
2013-08,4678005
2013-09,4279588
2013-10,4405289
2013-11,4464415
2013-12,5119439
2014-01,4596764
2014-02,4109038
2014-03,4493991
2014-04,4383872
2014-05,4368639
2014-06,4654569
2014-07,4581591
2014-08,4649022
2014-09,4256229
2014-10,4490180
2014-11,4415710
2014-12,5093465
2015-01,4420122
2015-02,4121357
2015-03,4535119
2015-04,4391381
2015-05,4480261
2015-06,4699589
2015-07,4893574
2015-08,4955301
2015-09,4421554
2015-10,4600789
2015-11,4636752
2015-12,5293165
2016-01,4860156
2016-02,4602026
2016-03,4902767
2016-04,4793662
2016-05,4781918
2016-06,4838307
2016-07,5181108
2016-08,4923309
2016-09,4584383
2016-10,4768937
2016-11,4784818
2016-12,5676648
2017-01,5256301
2017-02,4669729
2017-03,5112576
2017-04,5168548
2017-05,5003578
2017-06,5208779
2017-07,5415734
2017-08,5265703
2017-09,4927561
2017-10,5155327
2017-11,5173747
2017-12,5861990
2018-01,5303639
2018-02,4932345
2018-03,5555117
2018-04,5430745
2018-05,5294980
2018-06,5565775
2018-07,5723094
2018-08,5682688
2018-09,5225903
2018-10,5376234
2018-11,5408993
2018-12,6127843
2019-01,5656076
2019-02,5131807
2019-03,5630780
2019-04,5580503
