date,value
1969-01-01,8486
1969-01-02,9002
1969-01-03,9542
1969-01-04,8960
1969-01-05,8390
1969-01-06,9560
1969-01-07,9738
1969-01-08,9734
1969-01-09,9434
1969-01-10,10042
1969-01-11,9178
1969-01-12,8450
1969-01-13,9834
1969-01-14,10366
1969-01-15,9894
1969-01-16,9662
1969-01-17,9974
1969-01-18,9312
1969-01-19,8622
1969-01-20,9808
1969-01-21,10474
1969-01-22,9884
1969-01-23,9454
1969-01-24,9798
1969-01-25,9022
1969-01-26,8568
1969-01-27,9910
1969-01-28,10032
1969-01-29,9380
1969-01-30,9674
1969-01-31,9692
1969-02-01,9130
1969-02-02,8814
1969-02-03,9988
1969-02-04,9996
1969-02-05,9676
1969-02-06,9728
1969-02-07,10102
1969-02-08,9262
1969-02-09,8694
1969-02-10,9954
1969-02-11,9856
1969-02-12,10008
1969-02-13,9606
1969-02-14,10354
1969-02-15,9310
1969-02-16,8534
1969-02-17,9822
1969-02-18,10176
1969-02-19,9816
1969-02-20,9982
1969-02-21,9916
1969-02-22,9152
1969-02-23,8704
1969-02-24,9966
1969-02-25,10566
1969-02-26,10048
1969-02-27,9618
1969-02-28,9756
1969-03-01,9186
1969-03-02,8580
1969-03-03,10068
1969-03-04,10264
1969-03-05,10046
1969-03-06,9704
1969-03-07,9948
1969-03-08,9334
1969-03-09,8394
1969-03-10,9892
1969-03-11,10188
1969-03-12,9776
1969-03-13,9640
1969-03-14,10034
1969-03-15,8838
1969-03-16,8336
1969-03-17,10128
1969-03-18,10136
1969-03-19,10064
1969-03-20,9812
1969-03-21,9902
1969-03-22,8962
1969-03-23,8602
1969-03-24,9802
1969-03-25,10272
1969-03-26,9818
1969-03-27,9698
1969-03-28,10326
1969-03-29,8908
1969-03-30,8186
1969-03-31,9592
1969-04-01,9960
1969-04-02,9978
1969-04-03,9530
1969-04-04,9572
1969-04-05,8748
1969-04-06,8008
1969-04-07,9374
1969-04-08,10176
1969-04-09,9852
1969-04-10,9708
1969-04-11,9920
1969-04-12,8940
1969-04-13,8134
1969-04-14,9566
1969-04-15,10428
1969-04-16,9840
1969-04-17,9876
1969-04-18,9872
1969-04-19,8994
1969-04-20,7928
1969-04-21,9610
1969-04-22,10226
1969-04-23,9868
1969-04-24,9472
1969-04-25,9646
1969-04-26,8922
1969-04-27,7966
1969-04-28,9518
1969-04-29,9700
1969-04-30,9138
1969-05-01,9206
1969-05-02,9736
1969-05-03,8768
1969-05-04,8094
1969-05-05,9930
1969-05-06,9964
1969-05-07,9626
1969-05-08,9484
1969-05-09,9362
1969-05-10,8516
1969-05-11,8122
1969-05-12,9306
1969-05-13,9862
1969-05-14,9184
1969-05-15,9524
1969-05-16,9824
1969-05-17,8946
1969-05-18,8028
1969-05-19,9494
1969-05-20,10388
1969-05-21,9766
1969-05-22,9406
1969-05-23,9584
1969-05-24,8558
1969-05-25,8226
1969-05-26,9840
1969-05-27,10352
1969-05-28,9938
1969-05-29,10190
1969-05-30,9154
1969-05-31,8640
1969-06-01,8426
1969-06-02,9862
1969-06-03,10158
1969-06-04,9838
1969-06-05,9588
1969-06-06,10006
1969-06-07,8814
1969-06-08,8226
1969-06-09,9738
1969-06-10,10320
1969-06-11,9950
1969-06-12,10220
1969-06-13,9852
1969-06-14,8920
1969-06-15,8402
1969-06-16,9744
1969-06-17,10294
1969-06-18,10220
1969-06-19,9756
1969-06-20,10424
1969-06-21,9034
1969-06-22,8612
1969-06-23,9880
1969-06-24,10624
1969-06-25,10466
1969-06-26,10344
1969-06-27,10776
1969-06-28,9566
1969-06-29,8800
1969-06-30,10588
1969-07-01,11146
1969-07-02,10758
1969-07-03,10562
1969-07-04,9168
1969-07-05,9248
1969-07-06,8860
1969-07-07,10634
1969-07-08,10842
1969-07-09,10576
1969-07-10,10562
1969-07-11,10686
1969-07-12,9472
1969-07-13,8978
1969-07-14,10242
1969-07-15,11296
1969-07-16,10698
1969-07-17,10668
1969-07-18,10632
1969-07-19,9674
1969-07-20,8940
1969-07-21,10196
1969-07-22,11040
1969-07-23,10468
1969-07-24,10430
1969-07-25,10688
1969-07-26,9786
1969-07-27,9408
1969-07-28,10548
1969-07-29,11102
1969-07-30,10634
1969-07-31,10346
1969-08-01,10730
1969-08-02,9982
1969-08-03,9082
1969-08-04,10450
1969-08-05,10944
1969-08-06,10852
